Num_Tentaculos,Aurita_Stage,Ephyrae,Year,Perc
4,Ephyrae,0,1893,0
5,Ephyrae,0,1893,0
6,Ephyrae,4,1893,1.1
7,Ephyrae,8,1893,2.2
8,Ephyrae,278,1893,77.4
9,Ephyrae,22,1893,6.1
10,Ephyrae,18,1893,5
11,Ephyrae,12,1893,3.3
12,Ephyrae,14,1893,3.9
13,Ephyrae,3,1893,0.8
14,Ephyrae,0,1893,0
15,Ephyrae,0,1893,0
4,Ephyrae,0,1894,0
5,Ephyrae,1,1894,0.1
6,Ephyrae,6,1894,0.5
7,Ephyrae,34,1894,3
8,Ephyrae,883,1894,79.1
9,Ephyrae,75,1894,6.7
10,Ephyrae,61,1894,5.5
11,Ephyrae,35,1894,3.1
12,Ephyrae,17,1894,1.5
13,Ephyrae,3,1894,0.3
14,Ephyrae,1,1894,0.1
15,Ephyrae,0,1894,0
4,Adults,0,1894,0
5,Adults,0,1894,0
6,Adults,2,1894,0.5
7,Adults,18,1894,4.7
8,Adults,296,1894,77.3
9,Adults,33,1894,8.6
10,Adults,16,1894,4.2
11,Adults,10,1894,2.6
12,Adults,7,1894,1.8
13,Adults,0,1894,0
14,Adults,0,1894,0
15,Adults,1,1894,0.3
4,Adults,3,1898,0.1
5,Adults,3,1898,0.1
6,Adults,21,1898,0.7
7,Adults,123,1898,4.1
8,Adults,2367,1898,78.9
9,Adults,189,1898,6.3
10,Adults,144,1898,4.8
11,Adults,90,1898,3
12,Adults,42,1898,1.4
13,Adults,12,1898,0.4
14,Adults,3,1898,0.1
15,Adults,3,1898,0.1
