Num_Tentaculos,Diam_Umb_mm,Number_Aurelia,Month
4,15,1,April
5,10,2,April
6,10,3,April
6,15,2,April
6,20,4,April
6,25,1,April
6,30,2,April
7,10,13,April
7,15,20,April
7,20,29,April
7,25,8,April
7,30,5,April
8,10,270,April
8,15,442,April
8,20,446,April
8,25,280,April
8,30,102,April
8,35,29,April
8,40,7,April
9,10,17,April
9,15,30,April
9,20,38,April
9,25,17,April
9,30,8,April
9,35,4,April
9,40,1,April
10,10,15,April
10,15,28,April
10,20,23,April
10,25,18,April
10,30,6,April
10,35,1,April
11,10,17,April
11,15,19,April
11,20,17,April
11,25,12,April
11,30,5,April
11,35,1,April
11,40,1,April
12,10,3,April
12,15,6,April
12,20,4,April
12,25,8,April
12,30,2,April
12,35,2,April
13,10,3,April
13,15,2,April
13,20,1,April
13,25,1,April
14,10,1,April
14,30,1,April
15,20,1,April
15,25,1,April
4,45,1,June
4,50,1,June
5,50,1,June
6,45,1,June
6,50,3,June
6,55,1,June
6,60,1,June
6,65,1,June
6,70,1,June
7,30,1,June
7,35,1,June
7,40,3,June
7,45,11,June
7,50,10,June
7,55,2,June
7,60,4,June
7,65,5,June
7,70,3,June
7,75,5,June
7,80,1,June
7,85,1,June
8,25,4,June
8,30,11,June
8,35,27,June
8,40,39,June
8,45,97,June
8,50,128,June
8,55,138,June
8,60,111,June
8,65,83,June
8,70,57,June
8,75,37,June
8,80,22,June
8,85,9,June
8,90,7,June
8,95,1,June
9,25,1,June
9,30,3,June
9,35,2,June
9,40,4,June
9,45,13,June
9,50,12,June
9,55,12,June
9,60,8,June
9,65,4,June
9,70,6,June
9,75,6,June
9,80,1,June
9,90,2,June
9,95,1,June
10,40,3,June
10,45,7,June
10,50,7,June
10,55,14,June
10,60,9,June
10,65,7,June
10,70,4,June
10,80,1,June
11,20,1,June
11,35,1,June
11,40,1,June
11,45,1,June
11,50,4,June
11,55,2,June
11,60,3,June
11,65,5,June
11,70,1,June
12,30,1,June
12,40,2,June
12,45,5,June
12,50,1,June
12,55,3,June
12,60,1,June
12,65,2,June
12,70,1,June
12,75,2,June
13,35,2,June
13,40,1,June
13,45,1,June
13,60,1,June
14,60,1,June
15,50,1,June
