Year,Stage,Num_Tentaculocysts,Count_with_Num_Tentaculocysts
1893,Ephyra,4,0
1893,Ephyra,5,0
1893,Ephyra,6,4
1893,Ephyra,7,8
1893,Ephyra,8,278
1893,Ephyra,9,22
1893,Ephyra,10,18
1893,Ephyra,11,12
1893,Ephyra,12,14
1893,Ephyra,13,3
1893,Ephyra,14,0
1893,Ephyra,15,0
1894,Ephyra,4,0
1894,Ephyra,5,1
1894,Ephyra,6,6
1894,Ephyra,7,34
1894,Ephyra,8,883
1894,Ephyra,9,75
1894,Ephyra,10,61
1894,Ephyra,11,35
1894,Ephyra,12,17
1894,Ephyra,13,3
1894,Ephyra,14,1
1894,Ephyra,15,0
1894,Adult,4,0
1894,Adult,5,0
1894,Adult,6,2
1894,Adult,7,18
1894,Adult,8,296
1894,Adult,9,33
1894,Adult,10,16
1894,Adult,11,10
1894,Adult,12,7
1894,Adult,13,0
1894,Adult,14,0
1894,Adult,15,1
1898,Adult,4,3
1898,Adult,5,3
1898,Adult,6,20
1898,Adult,7,122
1898,Adult,8,2367
1898,Adult,9,190
1898,Adult,10,143
1898,Adult,11,91
1898,Adult,12,43
1898,Adult,13,12
1898,Adult,14,3
1898,Adult,15,3
